Author,Rating,Helpful_upVotes,Helpful_downVotes,Summary,Review,Compound,Sentiment_label,Negative,Neutral,Positive
sheldon26,10.0,2,1,one plus one make one,saw incendies first time canada french english subtitle experience wont soon forget storyline superbly written alternation flashback mother present sibling point view perfectly orchestrated complement beautifully make film perfect twist surprising unpredictable time unrealistic exaggerated especially sister shocked reaction big reveal terrifying seen film know mean overall denis villeneuves best film disturbing family story cant get head film seeing film second time give completely different perspective happens,0.8621,positive,0.125,0.651,0.223
houstoninvestments,10.0,2,1,film blew away,im awe powerful still emotional finishing heartbreaking yet hopeful cinematography sensational rawness movie rarely experienced sheer emotional horror scene delicately balanced hope joy another scene film portrays setting destruction beauty well flow well present flashback throughout great mystery movie much movie one wont soon forget,0.9543,positive,0.144,0.416,0.44
Red_Identity,8.0,1,0,effective contrived,odd one intriguing wellacted wellpaced around isnt though start pick apart contrivance good film ultimately melodramatic taste doesnt mean enjoyable sceneto scene basis though tone probably biggest accomplishment really affect sombering mood u particularly context setting world character living enough remind u atrocity performed human throughout time im sure id call one best film year even best alongside foreign language nominee definitely effective,0.9402,positive,0.061,0.687,0.252
gouthambj,9.0,2,1,incendies heartbreaking masterpiece demand multiple viewing,today watched incendies spending two hour reflecting story must say brilliantly written truly amazing screenplay somewhat confusing effectively maintains mystery keep audience engaged end hat writer director crafting masterpiecethis one heartbreaking story ever experienced surely bring tear end watching multiple timesat least two threewould help fully grasping depth complexityi fan director,0.9602,positive,0.066,0.59,0.344
hanan-77633,10.0,2,1,masterpiece shatters heart,jeanne brother simon embark journey fulfill mother last wish burial way encounter heartbreaking revelation unfolding mother traumatic pastthis movie dont control emotion story sibling searching father woman desperately finding firstborn lost right giving birth man subjected extreme war horror since birth story connect end movie talk many thing ultimately change livessetting plot around muslimchristian war modern yet fictional world movie carry many thing lifechanging many people talk many issue like family resilience love horror war especially war fought name religion pain segregation regret effect bad environment one mental health movie already wellknown critically acclaimed movie strongly believe counted one greatest movie time futurethe first thing make movie masterpiece movie enigmatic epic screenplay feel like modern heroic tale courage patience find one love matter much suffer win end rarely see epic storytelling modern world adaptation movie perfectly accomplishes task shaking soul core nonlinear order storytelling add layer suspense movie see rare combination thrill pain screen repeat movie neverseenbefore lot viewersthe thing make experience lifetime extremely disturbing heartbreaking climax hard go even week watching still messing brain heart soulcrushing three story witnessing throughout entire movie connect agonizing point made anyone cry yes last time cried watching movie year watched year slave six year watching cried masterpiece one hardhitting ending ever imaginedenis villeneuve man behind masterpiece doubt one greatest director modern cinema seen masterpiece well like prisoner arrival dune franchise blade runner movie top work great job done masterful director deserves respect todayall actor acted wonderfully entire movie especially lubna azabal played role nawal acting made everyone connect painful journey instantly one main reason everyone get hooked throughout entire movie lubna azabal made everyone cry brilliant acting performanceat last humble request movie deserves love attention youve loved denis villeneuve movie assure best work till mustwatch everyone,0.9764,positive,0.203,0.538,0.258
Soumyadeep9190,9.0,2,1,make one haunting equation fate,park chanwooks oldboy left breathless twisted revelation denis villeneuves incendies leave paralyzed silence film slowly unraveling curse visual poetry soaked blood love unbearable truththe climax incendies doesnt scream whisper whisper hit harder cinematic scream ever could make one twist shock value logical conclusion perfectly calculated tragedy like oldboy horror lie didnt want believe even possible realizing isvilleneuves direction icy methodical like surgeon revealing old wound never allowed heal control narrative pacing masterful doesnt throw twist make walk slowly watch bloom horrorvisually film stark grounded wartorn landscape become psychological battleground long static shot allow pain unfold real time there melodrama music cue tell feel raw human trauma staring facelubna azabal delivers earthshattering performance transformation across timeline haunting even silence devastates body remembers thing word cannot say supporting cast especially twin bring grace gravity making discovery final letter feel like emotional collapseincendies doesnt end echoesverdict fan oldboy sixth sense prisoner required viewing climax live mind like ghost shock hurt deeply,-0.9326,negative,0.227,0.613,0.16
frankde-jong,9.0,2,1,brilliant opening starting good film,last year denis villeneuve realy prolific director nevertheless somewhat older picture like incendies prisoner still best rated filmsincendies hard review much quality film due plot tense last momentthe film family secret gradually revealed way bit like fiorile paolo vittorio taviani little bit incendies much grim shocking due principle eye eye left rage uncurbedthe film situated two country country origin family probably lebanon country destination canada seeing film one realises much trauma immigrant often left behind maybe one got little patience psychological difficultiesthe opening scene introducing two country brilliant film start lebanon see little boy shaved bald classroom school scene clearly refers opening scene full metal jacket stanley kubrick case boy much younger one boy look straight camera much later film realise true identy scene suddenly cut quiet archive room canada room belongs notary jean lebel contains key family secret,-0.3242,negative,0.134,0.747,0.12
sajjadsherazi,10.0,2,1,movie never forget,another great movie denis villeneuve great story telling jumping different timeline story get better unwinds keeping audience glued screen conclusion,0.9022,positive,0.0,0.605,0.395
mhmd1abd,9.0,1,0,,one plus one equal onelife humanity family resistance extremism freedom x oppression war x peace find everything moviei interested idea one plus one equal two came across idea one plus one could equal onethe ending quite shockinginteresting movie,0.7579,positive,0.084,0.691,0.225
ZenShark,6.0,2,2,enjoy filmmaking dont think much,incendies extremely manipulative plot actually make little sense think basically dont think plot utter lack logic probability sequence event enjoy mood piecebut start think story plot extremely contrived full ridiculous coincidence bordering absurdity plot device move story make little sense especially find something near end movie like want play emotion family youre dead rather give quick closurewhat hold movie together good acting main cast sibling mainly everyone else little even suppose sister best role movie direction try add weight relatively absurd plot,0.73,positive,0.095,0.738,0.167
MusaShinns,10.0,1,0,silence,human dangerous destructive selfish animal earth sat silence minute finishing movie war take people life destroys soul forever cost war never lighta stunning depressingpowerful mystery thriller,-0.9732,negative,0.551,0.417,0.032
malte-neumann,8.0,1,0,stirring experience,beginning hooked movie powerful picture human tragedy conveyed every second scene unmentioned arab nation pure empathic cinema seemingly true local relation essence history inclined give movie even higher rating eventually plot contains twist much taste curb enthusiasm nevertheless great movie stirring experience surely watch,0.8779,positive,0.076,0.656,0.268
jimniexperience,9.0,1,0,mother twin uncovering misunderstood life,excellent storytelling early feature film denis villeneuve renown reinvigorating mysterythriller genre enemy prisoner arrival incendies early first bigger hollywood budget story follows two direction one past one present two twin tracking mother footstep uncover mystery past twin dying mother given two task fulfill bury tradition grave find father brother believe father died religious war waging mother time notary suggest search deeper son hold resentment heart daughter want complete mother wish learn family history lead adventure middle east track various stomping ground mother including childhood village university prison hoping find whereabouts father brother secret identity shocking disturbingmeanwhile story transition past mother life love muslim refugee politics religious warfare area search discovery adopted son various people who heart touched lifetime early masterpiece legend denis villeneuve bravo,-0.3612,negative,0.175,0.659,0.166
DSV1,9.0,1,0,journey fire truth,denis villeneuves incendies masterful blend mystery tragedy historical reflectionanchored deeply human story slowly unfolds like modernday greek tragedy first frame film grip somber tone doesnt let go devastating final momentsthe cinematography strikingcomposed poetic emotionally loaded every shot feel carefully crafted evoking beauty despair score heightens emotional atmosphere certain piece feeling nothing short hauntingthe plot told nonlinear structure yet never feel confusing disjointed instead film move like puzzle slowly taking shapeits revelation timed meticulous precision last ten minute nothing short mindblowing delivering final truth reshapes everything came itincendies political drama mysteryits journey life identity inherited trauma modern epic rooted myth terrifyingly real execution unflinching emotionally harrowing unforgettable,0.4888,positive,0.127,0.684,0.189
artificialgait,8.0,1,0,documentary tragedy,villeneuve crafted undeniably strong intense film incendies impress atmosphere performance yet film leaf somewhat mixed impressionthe main narrative unfolding slowpaced storytelling time feel overly drawn ending though emotionally powerful come across predictable somewhat abstract largely due deliberately unspecified setting key plot twist border fantastical aligns loosely real story soha bechara partly inspired film result conclusion tends blur perception story rather sharpening clarity impactaronofskys requiem dream come mind film even tragic heightened element serve drama story consciously move within space character inner perception illusion without striving strict realism thus internal dissonance arises incendies however combination almost documentarylike harshness sudden abstraction finale creates certain inner inconsistencyit remains important wellcrafted work leaf lasting impression though without question finale constructed style ancient tragedy fate recognition cycle violence remains tightly bound documentary style realism storytelling creating sense internal rupture story seems hesitant fully embrace myth yet also struggle remain grounded reality,0.9153,positive,0.09,0.72,0.19
Shanghai_Samurai,9.0,1,0,stark beauty,stark beauty film villanueva film prisoner enemy sicario mundane curious alike framed like realist painting quietly mathematical storybuilding reaching solution equation well answer make sense well incomprehensible performance lead woman revelation movie going year old like hitchcock fails age mastery showing telling,0.765,positive,0.163,0.515,0.322
vaisaghdilip,8.0,1,0,didnt make cry really shook,miss film yearsa depressing film hit hard every time watch,-0.5574,negative,0.444,0.556,0.0
gavin6942,7.0,2,3,dark root,twin journey middle east discover family history fulfill mother last wishesmany u sooner later get interested family history want know root famous ancestor connection indian tribe maybe something else completely unexpected often journey fascinating spark real interest history connection fellow mansometimes journey good many u middle eastern blood u somewhere go back hundred generation trace path anywhere middle east whole great place film show happen path go askew,0.9652,positive,0.0,0.719,0.281
pratheekshak,10.0,1,0,must watchable movie,one best movie ever watch acting background music screenplay everything excellent last min beyond word expresswhole movie haunt u,0.7351,positive,0.105,0.586,0.309
whistlerspa,6.0,4,11,interesting frustrating time,film got difficult start spent time middle east initial sequence frustrating trying work film set also fictional war christian muslim realistic added confusion couldnt normalise film thenonce got accepting work fiction alternative history became easier take faceout kilter value story poignant depicted human trial realistic gritty mannerthe story set around nawal lebanese woman first child taken birth year later canada nervous breakdown leading death charge twin search father brother know give letter sealed envelopejeanne daughter prepared brother simon reluctant set alone middle east begin searchill say regarding plot except search uncovers surprising event mother past traumatic conclusiongiven volatility region story set event depicted could well happened would send child mission believableoverall cinematography beautiful thought script acting excellent good film opinion great one saying,0.5106,positive,0.16,0.659,0.181
Rockwell_Cronenberg,5.0,32,41,solid premise dreadful structure,incendies mixed bag felt like negative aspect really bore positive one solid side thing denis villeneuve real knack storytelling eye imagery truly gorgeous shot dug deep brain haunting beautiful managed elicit strong reaction methe premise story quite intriguing one upon mother death two twin discovery father alive brother never knew set upon quest reveal truth casting lead dont think could found skilled actress lubna azabal melissa desormeauxpoulin job woman rarity modern cinema strong fierce fully stood belief decision powerful see strong woman actress portray level gusto perseverance requiredwhere fall apart though structure incendies another many dozen film year employ splittime narrative structure yet another example improperly section detailing twin journey truth mother past journey never feel like mesh well end feeling like two completely separate film first wasnt bad film progressed space two grew apartthe last act really derails present day huge discovery made already knew lack sense emotional catharsis character receive past see event character already know becomes retelling thing already aware final act bizarrely awkward display throwing everything audience quick succession place film slowly building point felt though didnt want end three hour long threw together half film worth information half hour end feeling awkward disjointed completely lost time credit rolled,0.986,positive,0.102,0.655,0.242
tincmvd,10.0,1,0,plot revealed end shock,despite cruelty also emotional moviestuck rib day aftercinematography amazing taking u step step story form different main character point view,0.7581,positive,0.059,0.656,0.285
dwezay,10.0,1,0,still haunt,yr movie still give trauma writer must heart stone cuz normal people cant handle pain writting story look realistic painful watch one deserve god cant cruel watching every movie think movie bt one say ending literally shaking cant move thinking plot twist kudos every actor director masterpiece wish naval never saw dot die happily bt end moviegreat movie,0.954,positive,0.094,0.594,0.312
FaruqueShahriar,10.0,1,0,devastating journey identity war,incendies one film leaf speechless heavy deeply reflective denis villeneuve craft haunting story family secret scar war journey twin trying uncover mother past gripping layered emotionally shattering film doesnt tell storyit confronts brutal reality human conflict cycle hatred shocking revelation hit like punch gut yet everything feel tragically inevitable cinematography raw pacing slow purposeful emotional payoff unforgettable masterpiece challenge long end,-0.9304,negative,0.277,0.589,0.134
Movi3DO,8.0,1,0,devastating,one plus one make onewhen mother died left envelope twin job find missing brother fatherthis devastating movie throughout runtime plot switched back forth past mother present twin tried learn mother flashback brutal scene denis villenueve great direction cinematography showed harshness devastation land civil war raw bit low quality camera enhanced harsh atmosphere even one harshest scene one bus need background music see unforgiving brutal scene movie whole wasi would lying said hooked whole movie slow took time character explored mother past bit dragged mewhen twist hit initially refused believe mind couldnt like oldboy right gosh fell silence rest movie panned outoverall great movie intriguing unexpectedly brutal plot,-0.9888,negative,0.323,0.62,0.057
ahmed-23625,10.0,1,0,movie,hope didnt happen real life since middle east get enjoy even way filmed movie stunning,0.8271,positive,0.0,0.58,0.42
StudioDude99,8.0,2,2,top ten film time,denis villeneuve probably prolific director working today film masterpiece denis incredibly deft directing actor show film writing masterful taut great thank making film sir,0.8934,positive,0.0,0.662,0.338
Jerghal,6.0,3,8,root evil,film vote imdb instant classic masterpiece cinema film remember rest lifeor would think well twist story could say cleverly written make defect film slow character going though motion discovery none make interesting scene didnt care much character certainly failed identify sympathize basic requirement liking film story take place unidentified middleeastern country apparently didnt want offend middle eastern people think whatever religion surprise surprise basically root cause evil happens protagonist sum element add great film even turned min day gathered enough courage plow remainder film get bit better slow start advice film youd think perfect there always thing personal taste,0.9544,positive,0.123,0.615,0.262
leahkirkness,10.0,1,0,sorry telling best,every movie come along reminds importance good story telling beautifully shot wonderfully acted narrative forget sat silence end movie appreciating watched processing go watch thank later,0.9477,positive,0.048,0.483,0.468
alexyf,1.0,20,23,triumph cynicism,perfect example propaganda want fake movie pretending based real strory demonstrate easity black could washed white white could stain,0.0772,positive,0.2,0.549,0.251
freebirds-36525,9.0,1,0,beautiful heart breaking movie,one movie make realize reality world journey war love oppression human evilness weakness captured movie surprise plot twist along sad reality present still depicts human reality ever behind cell beyond country border beyond human highly recommended,-0.7584,negative,0.271,0.565,0.164
iangancas,10.0,1,0,cant think one critique,film visuals sound stunning shocking script incredibly poetic actor delivery gut wrenching movie ability war ripple society time certainly would recommend film story telling incredible one movie leaf awe end,0.296,positive,0.163,0.594,0.243
dfranzen70,9.0,1,0,nowadays itd best picture nominee,blown away one grown twin tasked late mom part track real father heretoforeunknown older brother trail lead unnamed middle eastern country early villeneuve arrival sicario masterful particularly loved technique focusing character face experience happening around give u chance read emotion moment strong acting twist ending sure never saw coming,0.8955,positive,0.0,0.789,0.211
gradyharp,8.0,2,4,simply scorching blistering,incendies began play name wajdi mouawad opened cinema author assistance canadian director denis villeneuve consultant valrie beaugrandchampagne result staggeringly powerful film whose story well revealed cast sterling actor telling much plot would disservice come experience first time viewer opinion simply one finest film decade bound become permanent part cinematic librarythe opening film reveals many clue direction story take stark room young boy hair shorn one boy tattoo heal three aligned dot achilles tendon unsettling beginning camera move canada office notary jean lebel rmy girard responsibility executing secretary nawal marwan lubna azabal illuminating performance play entire film presenting nawals lebanese canadian twin child jeanne mlissa dsormeauxpoulin simon maxim gaudette marwan divide nawals worldly good equally child describes detail deceased mother buried naked face coffin unmarked grave provides two letter charging jeanne simon find father brother even know existed remainder film move back forth past present twin attempt find living relative story nawals life unbelievable nightmare nawal christian lebanese lover palestinian lover killed realizes pregnant shaming family thus forced give boy child orphanage grandmother sensitively tattooed three dot heel future recognition point nawal becomes mathematician hired killer imprisoned tortured becomes mother twin trace clue detective follow rocky road nawals life make discovery astonishingthough lubna azabal clearly central star film entire cast particularly mlissa dsormeauxpoulin maxim gaudette twin exemplary little tragedy nawals life spared power come moment discovery truth life lie quiet shock eye twin amazingly powerful film keep audience tension level high making surprising ending much powerful cinematography andr turpin manages capture vast power middle eastern desert village well moment intimacy musical score grgoire hetzel enhances atmosphere story line subtly end sensitive direction denis villeneuve brings human tragedy story alive highly recommended grady harp,0.3354,positive,0.103,0.772,0.125
slut4movies,10.0,1,0,piece art,one best movie since existence plot unbelievably genius acting superb setting meticulously chosen music decor etc looking cry eye scream side movie originally frenchcanadian arabic might suitable everyone dont mind dubbing subtitle ignore remark topic could triggering concretely depicted film make sure check okay topic listed keyword section overall incredible heart breaking raw story beautifully presented indeed hard sad,0.6872,positive,0.164,0.626,0.21
karlericsson,1.0,31,41,mess,beginning end film mess would write herhis child endanger find found since already known anybody completely stupid film script like imdbusers know nothing film obvious would never given film one star must tough anything crowd like determining good bad,-0.5095,negative,0.219,0.626,0.155
little-lou1984,8.0,1,0,wow,already seen twist talked article didnt take away power filmonce get used switching timeline easy enough follow picture grip start finishthe gut clearly run female line family simon bit whiner jeanne bold brave dignified like mother acting good film brutal place war brutal nawal went life unbelievable close losing life many time refusing broken end seems broken heart got hera really powerful film,-0.4033,negative,0.266,0.475,0.259
barralmagaz,9.0,1,0,,nawal lubna azabal dying middle eastern woman living montreal leaf separate letter twin child read pass away jeanne mlissa dsormeauxpoulin deliver father twin never knew simon maxim gaudette give brother never knew sibling travel middle east separately experience act brutality uncover startling family history revelation,-0.5719,negative,0.083,0.89,0.027
lee_eisenberg,10.0,6,9,arab spring origin,world attention throughout much year focused uprising arab world tunisian people forced country dictator flee egyptian people overthrew hosni mubarak protest continue bahrain yemenhowever important understand root uprising denis villeneuves incendies show example movie focus nawan marwal lubna azabal arab immigrant quebec whose final wish son daughter give information father never met brother never knew existed begin childrens journey find mother fled native countrythe native country never identified although appears lebanon finding nawan saw native country told flashback see ugly stuff movie leaf practically nothing imagination part childrens learning family history certainly horror nawan witnessed give audience idea arab world rising past six month respect probably would appropriate give incendies best foreign language film good movie although gutwrenchingalso starring mlissa dsormeauxpoulin maxim gaudette rmy girard allen altman,0.7717,positive,0.081,0.785,0.133
setare71,7.0,2,5,good,good movie predictable could predict end movie,0.4404,positive,0.0,0.674,0.326
miamijunge,10.0,3,3,best movie ever,probably watched movie ten time counting time shown friend every one loved movie liked started little bit slow didnt know dealing significance initial scene would throughout movie first scene child whose hair shaved ugly file room man standing read two protagonist hmmm definitely boring movie approximately five minute movie hookedi admit though watch trailer attracted movie part mentioned mother crazy enough entice watch throughout movie facial expression display emotion actor especially one lubna azabal stunning made immediate fan acting superb movie aroundthis typical movie typical feelgood storyline something new refreshing something seen movie made hollywood good plot nowadays recent hollywood movie memorable opinion doubt precious plot unique said usually underwhelmed lack good plotstorylinetwists shocked overstep imagination order somehow come twist watching incendies great experience movie made go search nonhollywood movie left righti read review criticizing thing lubnas accent scenery didnt match every aspect lebanon presumed country taking place disagree finding fiction percent perfect know fiction understand tolerate fact plot development culmination unrealistic thats art movie came play correct might well criticize play instead moviecompared crap hollywood feed u time say movie probably one best ever made could give movie really deserves,0.9824,positive,0.112,0.663,0.225
athena24,6.0,2,5,excellent direction emotionally disjoint ending biased,whoevers review reading everybody seem agree superb technical aspect movie scenery camera work impeccable delivery lubna azabal nawal marwan tense emotionally chargedthe split timeline however mixed bag although childrens timeline added narrative story stole screen time mother timeline far compelling fact nothing really occurred childrens timelineas twist didnt find shocking maybe contrived maybe comparing prior occurrence anticlimax wasnt bad didnt feel strong resolution eithermy biggest complaint evident bias presented movie regard atrocity done fighting party tried explain nawals point view kept accumulating one sided interpretation war personally find irresponsible,-0.1764,negative,0.163,0.689,0.148
walterradunsky,2.0,35,49,another muslim propaganda film,understand attraction incendies well crafted element film including beautiful cinematography superb acting story immediately draw viewer world troubled character find inexplicable well frightening many people seen incendies appear incapable seeing ie muslim propaganda film protagonist story arab christian character clearly serf purpose medium illustrating completely unprovoked evil people muslim portrayed film perfectly innocent victim one could possibly imagine worth noting lead actress incendies also played major role paradise palestinian film jew portrayed unprovoked tormentor muslim people fact incident violence muslim nonmuslims long indisputable history muslim committing act violence upon nonmuslims ive seen much passion beauty poetry film written muslim unfortunately never seen single one even attempt show sympathy whatsoever nonmuslims place responsibility whatsoever upon muslim people kind problem facing equally disheartening many peopleincluding object lopsided demonization portrayed many muslimmade filmssubscribe blatant hatred lie,0.7976,positive,0.199,0.553,0.248
bbewnylorac,9.0,3,3,great film,one achievement excellent film make think war make think many people migrate west complicated personal story influence life today see tv news woefully inadequate representation actual human impact war intelligent woman centre film bad luck born brutal inhuman time history even brutal family try best survive youve got empathise level film many twist turn plot even left cinema wasnt sure id understood side particular time responded made want know lebanese history beautifully made film well recommended,-0.7237,negative,0.245,0.547,0.208
rishabnambiar,10.0,3,3,one best plot twist cinema history,ending movie shocking gut wrenching twist ever filmed denis villeneuve geniusmost people love work prisoner blade runner arrival etc incendies another level due respect film,0.2732,positive,0.18,0.609,0.212
lord_91106,9.0,3,3,exquisitely beautifully brutal via contrived plot,movie beautiful view emotionally brutal end via heavily contrived plot cinematic treasure invited innocently firsthand view ravage civil religious war otherwise normal society played within stunning rugged countryside walked scene scene central character guide view reality war people suffer learn hate exclude central character even responds terrorism focused retaliative vengeance upper level story second level far far darker oedipus legend steroid analogy could made central character turning violent revenge way compensate loss instead revisited horrifically decided action shadow horror offspring parallel even exceeds downward spiral track malice happens movie could ever happen truly dramatic stretch exceeding even greek myth maker therein balkfurthermore loving even transcendental deathbed reconciliation enounced main character together everything seems matter many time try normally wildly idealistic mind idiotically simple cover travesty befallen tale swallow forgiveness christlike christ,-0.9705,negative,0.255,0.587,0.158
michaelradny,9.0,3,3,incredible,incendies quite extraordinary film whilst find wondering thought start taper something engaging riveting begin flow possibly one best film ive seen frenchcanada film may well blow mindincendies offer new twist turn every chapter end hard get started take eye captivating sequence held film good job storytelling also hold incredibly well commentary war religion family,0.7984,positive,0.084,0.709,0.207
eloveharris-1,9.0,4,6,emotionally engaging mystery drama,husband impressed emotionally engaged throughout whole film even though seen play scorched considered best play deep meaning seen year let recommend play whether youve seen movie someone said play hour long may dont remember boring moment though remember part arent movie movie nonetheless whole completethe character mother twin daughter son extremely sensitively portrayed actor without flashback emotionally distant confusing parenting received mother able imagine wound received compounded complete lack knowledge reason daughter jeanne seems dealt becoming student pure mathematics professor ta welcome student world abstraction solitude brother simon simmer rageafter mother death embark journey discovery mother stipulates cryptic startling instruction journey lead first jeanne eventually simon lebanon discover origin mother wound little little learn difficult understatementlife young adult country unforgiving moral standard young love relationship war viewer see difficult life mother flashback coming age horrendous circumstance child present day learn tortured life determined strengththe movie play provides audience opportunity see may lie hidden behind face distance withdrawal rage others encourages compassion others whose demeanor simply survival mechanism deal wound may know understand also let one experience vicariously thankfullythe horror war especially war based revenge personal tribal atrocity make u whole compassionate less quick judgement good bad complicated world,0.344,positive,0.174,0.623,0.203
jack_o_hasanov,8.0,3,4,wow,wow never expected ending stunning wow denis excellent job,0.8783,positive,0.118,0.271,0.611
rightwingisevil,8.0,2,5,wow great movie,movie forever imprint memory story could never believe movie based adapted play screenplay storyline scenario one best ive ever seen complicated yet shocking end time obvious plain sight like plot imdb title french mean destruction fire scorched english refer greek tragedy oedipus fable oedipus theme inadvertent relationship mother son end disaster show ancient taboo unacceptable direct bloodline relationship oedipus punished committing already existed ancient taboo blinding sequel oedipus antigone four child also punished parent entangled bad incestuous original sin could even link movie title incendies far away incestuous crime punishment oedipus didnt see movie oedipuslike guy blinded eye banished wildness antigonelike young female mathematician twin brother tormented troubled finding discovery myth originthe thing clearly portrayed movie war location war period war also racial religious conflict mother first love seems beginning singing womanprisoner combination oedipus antigone mysterious punished unseen fate first romance affair well vague war war first looked like independence war declared algeria french became confusing war palestinian israeli research actually lebanese civil war christian muslim killing side blindly manipulated force around oncelikeparadise wartorn country beginning movie clearly told lebanese civil war giving u exact time frame localitythis unsatisfactory confusion movie directing casting performance played two actress topnotched failed win best foreign movie best screenplay best directing best cinematography best female actress best supporting female actress oscar biggest shame hollywood u movie abovementioned category meantime watching great movie also understood greatness catharsis really meant also inevitably realized two mother evil world religion war caused religion ethnic differenceslet sleeping dog lie somehow might best way deal life never look back let bygone bygone never believe truth set free sometimes truth kill past really important hell dna actually important move,-0.9919,negative,0.296,0.507,0.197
codchops,10.0,3,4,truly masterful piece cinema,went knowing anything plot knowledge nominated best foreign film oscar undoubtedly one pleasant surprise film ever given mei go plot spoil anything pleasure seeing say definitely one best film ever seen direction superb breathtaking shot rundown war torn middle eastern landscape score containing various work radiohead fantastic really set bleak tone movie perfectly ill honest admit recognise actor actress exceptional particularly lubna azabal gave one best performance seen long time really encapsulated dire situation found inif enjoy work alejandro gonzlez irritu youll love bleak dark gritty thoroughly captivating,0.9911,positive,0.09,0.52,0.39
liam_parsonage,5.0,10,10,deserved top film ever,cant quite see made top film time possibly im english speaking message lost translation script wasnt compelling dialogue basic maybe due translation subtitle really dont like mix fictional location real life location blur line much viewer lost geographically within story made doubt authenticity judging review left lebanese people poor representation event mother played role really well actor quite forgettable really generally agree lot user review imdb one isnt personally,-0.5602,negative,0.172,0.712,0.116
suvopyne49,9.0,2,2,emotionally exhausting experience,incendies belongs rare breed film induce tumultuous surge emotion spectator engaging narrative jerry seinfeld said show seinfeld add humor show undoubtedly leo tolstoy wanted name novel war good instead war peace maybe rhetorical question book title would apt tagline portrayed filmwhat set dennis villeneuves incendies apart film postwar trauma underlying theme spectrum human relationship constructed screen film start twin brother sister jeanne simon receiving recently deceased mother nawals funeral wish wish need fulfilled child proceed burial two different letter twin asked locate father halfbrother would later find called nihad initial reluctance refusal foreboding brother jeanne finally set upon journey would uncover truth several different realisation taking audience itin incendies villeneuve never loses grip get hold first minute narrative mother daughter tracing path middleeastern country different perspective scenario civil war shown infliction protagonist compared lebanese civil war place horrific memory mother visited daughter thus blending two timeline narrative sense dj vu channeled film one point viewer along jeanne would forced ponder whether oblivious truth blessing notif screenplay heart film oxygen provided cast keep pumping lubina azabals nawal marwan tremendous feat acting important performance accordance story protagonist tempestuous journey film mlissa dsormeauxpoulin jeanne far behind either apart standout performance film bolstered performance rest cast akin neorealist filmincendies intense brutal one get nothing hit harder truth come nowhere want hear incendies quite achievement becomes incessantly difficult revisit first scene nihad child would leave selfjudgment introspection radioheads whose army add cause,-0.7998,negative,0.139,0.733,0.128
mimidjukic,9.0,2,2,want point two thing help enjoy brilliant movie,two thing want say first know movie based play many seem ignore play also written french therefore named incendies scorched writer one favourite person world name wajdi mouawad could stop calling mouhad would make happybut second important thing want say regard review criticized ending movie farfetched killing going top probably would agreed little prior knowledge mouawads work feel need point greek tragedy part trilogy piece linked aspect theme gather two piece called littoral coast fort forest chance read bit work including incendies saw movie aware greek tragedy despite setting see different light maybe seems strange work besides genius always rightnow ive got system skip recommending movie heart swear saying quebec like spelling grammar mistake havent tipped emotion wont need subtitle pierce screen choice scenery colour imagery mostly everything plot really make worth seeing love fact movie represents quebec cinema international scene love play drive deep middleeastern world without exploiting terrorism issue mediocre way love fact isnt set anywhere particularly learn review mouawad inspired lebannon conflict doesnt change fact country nation human,0.9177,positive,0.13,0.666,0.204
Forest-G,10.0,2,2,powerful film,disappointing incendies didnt get oscar becauseincendies one powerful movie ive watched far probably powerful one cant remember last time movie made speechlessthat sceneomgbest french canadian movie opinion even thou watched far p doubt incendies best french canadian movie year come masterpiecethe story twin go middle east search brother never knew mother request fascinating truth unfold one one didnt expect comingthe ending shocking one yes powerful masterpiece amazing writing flawless think logical flaw technical flaw damn u make artist also something make audience figuring truth even flaw incendies still movie,0.9735,positive,0.094,0.612,0.294
netranger-44074,10.0,2,2,masterpiece,come never heard movie till arb man totally relate matter shocking movie still didnt represent size tragedy happened lebanon still happening country area right,0.2336,positive,0.103,0.728,0.17
avik-basu1889,7.0,1,2,brilliantly directed portrayal life time chaos marred flashy climax,incendies film directed denis villeneuve adapted wajdi mouawads play name screenplay co written villeneuve valrie beaugrandchampagne film plot epicfeel film take place lengthy spell time covering large number year film star lubna azabal nawal marwan mlissa dsormeauxpoulin maxim gaudette nawals twin child jeanne simon respectively nawals death jeanne simon get informed mother left two letter one respectively learn father alive brother whose existence unaware jeanne supposed deliver letter father simon supposed deliver letter brother mission take individually unnamed middleeastern country try piece together clue gather information mother pastthis film becomes tough watch time villeneuve really go gritty stripped depiction like survive country divided hate experiencing civil war film brilliantly directed villeneuves brutal guerrilla style shooting reminded alfonso cuarns style child men theme film range absurdity hatred borne religious diversity element immigration show sorry state life child country region devastated war life pretty much end even begin film also underline concept showing people living financially well country privilege sometimes forget acknowledge acting brilliant main player special mention given lubna azabal fair portion narrative film rest shoulder screenplay cleverly written film doesnt give information exposition happen gradually narrative shift mother daughter constantly godfather iiesque manneri would probably given film ending shocking revelation end genuinely unexpected impact youre watching film start think becomes difficult buy extent might meaningful thematic standpoint film directed aggressively realistic manner even symbolism literal believability context plotincendies well directed well acted film war hatred intolerance hardship living ultraconservative unstable society film impact make ponder life ending film eye hinders making transition good great,-0.765,negative,0.169,0.673,0.158
